customer_id,company_name,segment,industry,company_size,location,annual_revenue,order_frequency,avg_order_value,last_order_days,total_orders,contract_value,employee_count,relationship_years,satisfaction_score,nps_score,preferred_contact,payment_method,has_online_account,has_mobile_app,has_integration,is_active,customer_lifetime_value,avg_monthly_revenue,engagement_score,churn_risk
1,Global Holding,Gold,Sağlık,Küçük Ölçekli,Ankara,16936,30,564,34,30,415203,58,9,7.53,0,Telefon,Havale/EFT,True,True,False,True,121939.2,1411.3333333333333,0.58,Orta
2,Mega Holding,Gold,Perakende,Orta Ölçekli,Eskişehir,25995,41,634,45,41,6945725,82,7,7.5,5,Web Site,Vadeli Ödeme,False,True,True,False,145572.0,2166.25,0.52,Orta
3,Tech Ticaret,Gold,Teknoloji,Küçük Ölçekli,Adana,30719,15,2047,2,15,3916457,41,9,10.0,10,Web Site,Kurumsal Kredi Kartı,True,True,False,True,221176.80000000002,2559.9166666666665,0.6,Düşük
4,Net Teknoloji,Silver,Üretim,Orta Ölçekli,Antalya,19610,33,594,2,33,1297513,56,1,6.71,6,E-posta,Havale/EFT,True,False,True,True,15688.0,1634.1666666666667,0.44,Orta
5,Sistem Ltd. Şti.,Silver,Hizmet,Küçük Ölçekli,Istanbul,10046,18,558,80,18,2144254,102,3,10.0,8,Mobil Uygulama,Çek,True,True,True,False,24110.400000000005,837.1666666666666,0.58,Yüksek
6,Net Holding,Bronze,Sağlık,Küçük Ölçekli,Istanbul,5793,12,482,8,12,1608262,45,1,9.4,7,Mağaza,Havale/EFT,True,True,False,True,4634.400000000001,482.75,0.53,Düşük
7,Mega Holding,Premium,Turizm,Küçük Ölçekli,Istanbul,35218,38,926,48,38,1726019,208,6,9.98,10,E-posta,Havale/EFT,True,False,False,True,169046.40000000002,2934.8333333333335,0.58,Orta
8,Grup A.Ş.,Silver,Perakende,Orta Ölçekli,Gaziantep,2239,27,82,24,27,2758993,167,2,10.0,10,Telefon,Kurumsal Kredi Kartı,True,True,True,True,3582.4,186.58333333333334,0.62,Düşük
9,Global Holding,Bronze,Sağlık,Küçük Ölçekli,Antalya,934,19,49,13,19,7439820,20,1,9.81,6,Web Site,Vadeli Ödeme,True,False,False,True,747.2,77.83333333333333,0.47,Düşük
10,Pro A.Ş.,Bronze,Perakende,Orta Ölçekli,Bursa,20413,27,756,44,27,812508,193,1,5.83,9,E-posta,Vadeli Ödeme,True,True,True,True,16330.400000000001,1701.0833333333333,0.49,Yüksek
11,Net Ticaret,Bronze,Hizmet,Orta Ölçekli,Istanbul,20930,13,1610,101,13,3173716,24,1,6.06,7,Telefon,Vadeli Ödeme,True,True,False,True,16744.0,1744.1666666666667,0.44,Yüksek
12,Net Holding,Silver,Perakende,Küçük Ölçekli,Trabzon,98856,20,4942,9,20,5590169,17,3,7.0,6,Mağaza,Havale/EFT,False,True,False,True,237254.40000000002,8238.0,0.4,Orta
13,Mega A.Ş.,Bronze,Perakende,Küçük Ölçekli,Gaziantep,12010,44,272,14,44,1636580,382,5,7.84,7,Mağaza,Çek,True,True,True,True,48040.0,1000.8333333333334,0.63,Düşük
14,Net Sanayi,Gold,Teknoloji,Küçük Ölçekli,Istanbul,6616,16,413,11,16,957528,84,4,10.0,6,E-posta,Vadeli Ödeme,True,True,False,True,21171.2,551.3333333333334,0.58,Düşük
15,Tech Holding,Silver,Teknoloji,Orta Ölçekli,Istanbul,1440,21,68,32,21,10061538,208,9,6.37,5,E-posta,Havale/EFT,True,True,False,True,10368.0,120.0,0.51,Orta
16,Global Ticaret,Premium,İnşaat,Küçük Ölçekli,Istanbul,14486,27,536,39,27,6385997,33,3,7.02,7,Mağaza,Havale/EFT,False,False,False,True,34766.40000000001,1207.1666666666667,0.33,Orta
17,Türk A.Ş.,Premium,Sağlık,Büyük Ölçekli,Ankara,103784,15,6918,20,15,15018670,294,2,7.6,7,Web Site,Vadeli Ödeme,True,True,True,True,166054.40000000002,8648.666666666666,0.5,Düşük
18,Net Teknoloji,Gold,Lojistik,Büyük Ölçekli,Izmir,344538,18,19141,8,18,9797866,235,8,8.64,6,Web Site,Havale/EFT,True,True,True,True,2205043.2,28711.5,0.57,Düşük
19,Global Teknoloji,Premium,Üretim,Küçük Ölçekli,Ankara,59719,14,4265,12,14,685955,82,3,9.3,8,E-posta,Havale/EFT,True,False,False,True,143325.60000000003,4976.583333333333,0.45,Düşük
20,Net Holding,Gold,Perakende,Orta Ölçekli,Istanbul,6421,14,458,42,14,2095186,189,13,6.99,4,Telefon,Çek,True,True,False,True,66778.40000000001,535.0833333333334,0.52,Orta
21,Star Ltd. Şti.,Gold,Teknoloji,Küçük Ölçekli,Antalya,10592,9,1176,65,9,4863792,53,3,10.0,10,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,True,True,25420.800000000003,882.6666666666666,0.55,Yüksek
22,Tech Ticaret,Premium,Teknoloji,Orta Ölçekli,Istanbul,15417,27,571,22,27,3752542,97,5,9.29,5,Mağaza,Havale/EFT,True,False,True,True,61668.0,1284.75,0.51,Düşük
23,Mega A.Ş.,Bronze,Teknoloji,Orta Ölçekli,Istanbul,9584,24,399,9,24,6876005,114,8,8.88,8,Web Site,Çek,True,True,True,True,61337.600000000006,798.6666666666666,0.6,Düşük
24,Global Teknoloji,Premium,Sağlık,Küçük Ölçekli,Ankara,295857,15,19723,33,15,1101739,192,5,8.72,7,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,True,True,1183428.0,24654.75,0.54,Orta
25,Net Ltd. Şti.,Silver,Hizmet,Küçük Ölçekli,Izmir,159641,42,3800,31,42,11981833,110,24,6.27,0,Telefon,Havale/EFT,False,True,True,False,3065107.2000000007,13303.416666666666,0.56,Orta
26,Star Teknoloji,Gold,Teknoloji,Orta Ölçekli,Konya,30619,23,1331,72,23,1566220,389,3,8.32,5,Web Site,Havale/EFT,True,True,False,True,73485.6,2551.5833333333335,0.55,Yüksek
27,Sistem Ltd. Şti.,Bronze,Perakende,Orta Ölçekli,Istanbul,23189,20,1159,11,20,3293637,6,1,8.62,7,E-posta,Vadeli Ödeme,True,True,True,True,18551.2,1932.4166666666667,0.54,Düşük
28,Mega Teknoloji,Bronze,Perakende,Küçük Ölçekli,Izmir,5326,27,197,52,27,956148,185,3,9.72,6,Web Site,Kurumsal Kredi Kartı,True,True,False,True,12782.400000000001,443.8333333333333,0.61,Orta
29,Anadolu Teknoloji,Silver,Perakende,Orta Ölçekli,Antalya,2033,14,145,34,14,3481509,40,1,9.66,9,E-posta,Kurumsal Kredi Kartı,True,False,False,True,1626.4,169.41666666666666,0.45,Orta
30,Star A.Ş.,Silver,Perakende,Orta Ölçekli,Istanbul,386477,30,12882,55,30,2903115,16,1,10.0,8,E-posta,Havale/EFT,True,True,True,True,309181.60000000003,32206.416666666668,0.62,Orta
31,Tech Teknoloji,Premium,Eğitim,Küçük Ölçekli,Antalya,1690,48,35,4,48,1127236,29,9,8.9,5,Mağaza,Çek,True,True,True,False,12168.0,140.83333333333334,0.7,Düşük
